Humidity: 67.80 %, Temp: 32.20 Celsius
Humidity: 44.80 %, Temp: 26.00 Celsius
Humidity: 44.90 %, Temp: 25.90 Celsius
Humidity: 44.30 %, Temp: 25.90 Celsius
Humidity: 43.90 %, Temp: 25.90 Celsius
Humidity: 43.60 %, Temp: 25.90 Celsius
Humidity: 43.50 %, Temp: 25.90 Celsius
Humidity: 43.60 %, Temp: 25.90 Celsius
Humidity: 43.70 %, Temp: 25.90 Celsius
Humidity: 43.80 %, Temp: 25.90 Celsius
Humidity: 44.00 %, Temp: 25.90 Celsius
Humidity: 43.90 %, Temp: 25.90 Celsius
Humidity: 43.90 %, Temp: 25.90 Celsius
Humidity: 43.90 %, Temp: 25.90 Celsius
Humidity: 43.80 %, Temp: 25.90 Celsius
Humidity: 43.90 %, Temp: 25.90 Celsius
Humidity: 45.30 %, Temp: 25.90 Celsius
Humidity: 45.70 %, Temp: 25.90 Celsius
Humidity: 45.90 %, Temp: 25.90 Celsius
Humidity: 45.90 %, Temp: 25.90 Celsius
Humidity: 45.70 %, Temp: 25.90 Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: 45.40 %, Temp: 25.90 Celsius
Humidity: 46.70 %, Temp: 25.90 Celsius
Humidity: 47.20 %, Temp: 25.90 Celsius
Humidity: 47.20 %, Temp: 25.90 Celsius
Humidity: 47.20 %, Temp: 25.90 Celsius
Humidity: 46.40 %, Temp: 25.90 Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: 47.60 %, Temp: 25.90 Celsius
Humidity: 48.60 %, Temp: 25.90 Celsius
Humidity: 49.40 %, Temp: 25.90 Celsius
Humidity: 48.60 %, Temp: 25.90 Celsius
Humidity: 47.70 %, Temp: 25.90 Celsius
Humidity: 47.00 %, Temp: 25.90 Celsius
Humidity: 48.60 %, Temp: 25.90 Celsius
Humidity: nan %, Temp: nan Celsius
Humidity: 48.90 %, Temp: 25.90 Celsius
Humidity: 47.30 %, Temp: 25.90 Celsius
Humidity: 47.40 %, Temp: 25.90 Celsius
Humidity: 49.00 %, Temp: 26.00 Celsius
Humidity: 48.00 %, Temp: 26.00 Celsius
Humidity: 47.40 %, Temp: 26.00 Celsius
Humidity: 46.50 %, Temp: 26.00 Celsius
Humidity: 45.50 %, Temp: 26.00 Celsius
Humidity: 44.90 %, Temp: 26.00 Celsius
Humidity: 44.40 %, Temp: 26.00 Celsius
Humidity: 44.00 %, Temp: 26.00 Celsius
Humidity: 43.80 %, Temp: 26.00 Celsius
